,importance
proba_2025_Stability,0.15653196
proba_2024_Stability,0.08514454
proba_2024_Decline,0.07967765
proba_2021_Stability,0.07800228
proba_2025_Growth,0.0596248
Debt to Equity,0.05881042
proba_2021_Decline,0.056480505
proba_2021_Growth,0.053648524
ROI,0.05337086
proba_2025_Decline,0.05327973
Profit Margin,0.05285815
proba_2024_Growth,0.04745143
Revenue,0.045121107
Current Ratio,0.044755824
Cash From Ops,0.041958075
ROE,0.033284124
