,importance
proba_2025_Decline,0.21703981
proba_2025_Stability,0.20296736
proba_2025_Growth,0.20131476
proba_2021_Growth,0.052719463
proba_2024_Decline,0.046705067
proba_2024_Growth,0.045936227
proba_2021_Decline,0.044363365
proba_2022_Decline,0.04107398
proba_2022_Growth,0.04087435
proba_2022_Stability,0.039772343
proba_2024_Stability,0.036550228
proba_2021_Stability,0.030683082
