Debt to Equity,ROE,ROI,Cash From Ops,Actual,Predicted,Correct
1.0677664569505594,-0.4432968436174033,-0.2156938251150388,-20329000.0,Decline,Stability,False
3.4786931757304065,-0.2810323620295805,-0.06346421119056,168310000.0,Growth,Decline,False
0.5991098217656526,0.2383293262066087,0.1518666798345906,91495000000.0,Growth,Stability,False
6.249788314987299,-0.6430990685859441,-0.112302232736951,1390000000.0,Decline,Growth,False
8.98100999082728,-1.8753625703448449,-0.2000640022850402,-75134000.0,Stability,Growth,False
19.843911962256257,0.0023241220628907,0.0001165071256923,928418000.0,Decline,Stability,False
1.6841064209281942,0.0501737781434406,0.0193390640895698,117670000.0,Decline,Growth,False
1.1062929548456424,-0.440425686717858,-0.2109598258566427,-122332000.0,Decline,Stability,False
1.7220956719817768,0.1469248291571754,0.0543615676359039,219000000.0,Decline,Growth,False
0.717951916412717,0.0179430237068465,0.0104551405104511,1290262000.0,Growth,Stability,False
1317.2878998609178,-388.7461752433936,-0.2958305043306893,-356654000.0,Growth,Decline,False
-690.0215053763441,-18.666666666666668,0.0278156094278252,3932000000.0,Growth,Stability,False
3.544903470916095,0.257700889713683,0.0574407724432731,150197000.0,Decline,Stability,False
1.2089339096815217,0.1707089663848166,0.0827341608364744,58516000.0,Decline,Stability,False
0.3212924380080607,-0.0156158207527836,-0.0119238459532295,32298000.0,Decline,Growth,False
328.7709132225536,38.358116744780574,0.1232436110152831,603142000.0,Decline,Stability,False
0.1467631022887223,-1.046295145409286,-0.9456087778901124,-257715000.0,Growth,Decline,False
-0.2153237542208847,-0.5452521228047867,-0.7095834697007027,-166522000.0,Decline,Growth,False
1.0746969999178702,-0.0980218465112459,-0.0504331290935981,17687000.0,Stability,Growth,False
1.3985170248229062,-0.0263520150008929,-0.0120156340651622,18538000.0,Decline,Growth,False
-2.234199074393866,-0.1025419631139048,0.0944638880050906,3177000.0,Decline,Growth,False
1.4726118183779784,0.3074196233161739,0.1267893920516667,696000000.0,Growth,Decline,False
1.0290771264134717,-0.3859922097357324,-0.1978879854299317,10370000.0,Growth,Decline,False
1.4733675715333825,0.1263389581804842,0.0543800922124676,1488000000.0,Decline,Growth,False
2.088537544597443,-0.0078160516721911,-0.0025390753626123,501723000.0,Growth,Decline,False
-0.1010534718080067,0.1873300498228132,0.2153191392830047,215343000.0,Decline,Growth,False
1.6271676300578035,0.1194605009633911,0.056985294117647,167000000.0,Decline,Growth,False
0.6793699419827235,0.099807216357681,0.060557363628568,568732000.0,Decline,Growth,False
0.3074612340376141,0.0012415637398493,0.001000015075631,28869901.0,Decline,Growth,False
2.7803118123939328,-0.0481750436754408,-0.0130341236266877,418407000.0,Decline,Stability,False
-0.3398215293157392,-0.1184556723672036,-0.1859397510429785,184614000.0,Decline,Stability,False
3.029171538474573,-0.0354646433836612,-0.0114252062856035,19363000.0,Decline,Stability,False
-9.72129314352486,0.5660958172611793,-0.0659456144446583,-35608000.0,Decline,Growth,False
1.3013904649738006,-0.0383963561607481,-0.016977773082874,1235014000.0,Growth,Stability,False
0.6505626613586646,-0.6928006937190831,-0.4302552151924762,-180147000.0,Growth,Decline,False
-38.333021515434986,-0.5818521983161834,0.0270364252803616,121000000.0,Decline,Growth,False
0.3663721041318366,0.2792260045487823,0.2154396060848129,577923000.0,Decline,Growth,False
0.1543696065763244,-0.395066458018142,-0.3451419300673912,-37610000.0,Decline,Growth,False
1.2836499779788195,0.0649868731779277,0.0316431218706654,272873000.0,Growth,Stability,False
19.06194393799808,-0.4088944150598179,-0.0207172789463823,71199000.0,Decline,Stability,False
1.6912268677176148,-0.1161754626456477,-0.0503939348892522,-2896000.0,Growth,Decline,False
1.7200551615445232,-0.7362096138691884,-0.2873510188389081,-10449000.0,Decline,Growth,False
1.3619553172875984,0.0812861608652771,0.0346335445827781,1371671000.0,Decline,Stability,False
-5.936549053139854,1.4673188642708046,-0.3071516938222211,-35898000.0,Growth,Stability,False
0.1364770035543878,-0.0762952884120687,-0.0676964573716701,31652000.0,Growth,Decline,False
0.2561738198155131,-0.2486337128223389,-0.2154093744758748,-8374926.0,Decline,Growth,False
2.000096409778036,0.4275851825988168,0.1517865195093378,411738000.0,Growth,Decline,False
0.2024032725413329,-0.6474348048406341,-0.7767099478580922,-8852000.0,Decline,Growth,False
1.3779637377963738,0.1692658805629517,0.0801512968299711,2423000000.0,Decline,Growth,False
0.7012466469389315,0.1138522980471194,0.0675310867882374,100052000.0,Decline,Stability,False
4.907725993118548,0.3321864247732249,0.0622873900293255,81000000.0,Decline,Growth,False
0.6314718002530592,-0.0020986930865779,-0.0013092240787365,-55661000.0,Growth,Decline,False
